,PM2,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,lat,lon,province
8931,210.21,287.08,69.62,53.02,2.59,36.55,-1.76,-0.68,277.93,27.38,97115.08,29.98,104.29,四川省
8932,210.64,291.57,59.79,51.3,2.69,34.43,-1.81,-0.05,278.12,27.01,97368.77,29.99,104.45,四川省
8933,199.87,284.13,45.9,48.46,2.68,35.5,-1.89,0.36,278.12,26.65,97212,29.99,104.61,四川省
8934,177.71,259.6,29.26,40.75,2.51,40.31,-1.98,0.22,278.2,26.54,97201.79,29.99,104.76,四川省
8935,158.59,234.3,24.67,36,2.3,44.94,-2.37,-0.24,278.38,27.17,97320.97,29.99,104.92,四川省
8936,143.31,213.65,22.83,31.67,2.17,47.38,-2.79,-0.71,278.44,27.9,97155.16,29.99,105.08,四川省
8937,125.5,186.98,21.51,30.67,2.04,48.61,-2.74,-0.96,278.31,28.82,97029.41,29.99,105.24,四川省
8938,107.68,161.25,20.51,30,1.91,50.07,-2.38,-1,278.19,30.23,97377.45,29.99,105.39,四川省
8939,90.46,137.48,19.98,29.25,1.78,52.13,-2.1,-0.86,278.24,31.34,97816.22,29.99,105.55,四川省
8940,73.06,117.5,20.1,29.43,1.65,53.69,-1.84,-0.86,278.32,32.26,98166.3,29.98,105.71,四川省
8941,59.63,102.89,21.74,28.6,1.54,55.1,-1.75,-1.06,278.46,33.15,98713.78,29.98,105.86,重庆市
8942,52.16,94.72,23.68,27.93,1.43,54.63,-1.85,-1.04,278.71,32.88,98967.41,29.98,106.02,重庆市
8943,55.12,93.4,25.79,28.06,1.31,51.3,-1.9,-0.77,278.99,32.45,98929.8,29.98,106.18,重庆市
8944,58.98,90.57,27.53,25.81,1.17,48.76,-2.77,-0.22,279.53,30.75,98538.47,29.98,106.33,重庆市
8945,60.7,87.19,29.08,20.91,1.06,47.73,-4.07,-0.35,279.36,29.58,97165.32,29.98,106.49,重庆市
8946,62.35,84.72,30.25,16.45,0.97,48.9,-3.92,-1,278.49,31.54,96320.68,29.98,106.65,重庆市
8947,64.7,84.52,32.24,14.32,0.93,51.26,-3,-1.66,278.28,33.12,96771.67,29.97,106.8,重庆市
8948,67.74,87.51,35.47,15.63,0.92,52.36,-2.42,-1.69,278.62,33.62,97156.69,29.97,106.96,重庆市
8949,67.8,87.16,38.12,17.46,0.89,54.42,-1.64,-1.2,279.44,35.93,97287.24,29.97,107.12,重庆市
8950,52.95,68.11,32.02,13.68,0.66,62.07,-2.51,-0.15,281.36,42.66,97119.68,29.97,107.28,重庆市
8951,63.2,78.56,39.33,17.62,0.81,48.23,-2.83,-1.04,278.74,22.14,96778.59,29.96,107.43,重庆市
8952,61.53,76.96,38.93,16.58,0.8,49.92,-1.49,-1.18,279.27,27.51,97431.47,29.96,107.59,重庆市
8953,55.17,69.54,34.23,14.22,0.69,52.28,-0.79,0.14,279.86,24.87,97764.38,29.96,107.75,重庆市
8954,44.13,55.96,26.1,11.15,0.58,56.95,-0.62,2.09,279.38,24.33,95915.33,29.95,107.9,重庆市
8955,37.48,48.69,23.15,9.16,0.52,60.61,-1.34,3.11,277.66,25.53,92320.77,29.95,108.06,重庆市
8956,35.56,44.93,22.15,8.09,0.47,65.15,-1.42,2.01,275.32,29.33,88569.45,29.94,108.22,重庆市
8957,35.78,44.22,20.35,7.53,0.45,63.98,-0.18,0.14,273.81,33.93,86733.54,29.94,108.37,重庆市
8958,38.87,44.95,20.53,7.17,0.42,62.46,0.8,-0.64,274.53,35.1,88225.78,29.94,108.53,湖北省
8959,45.02,50.35,25.94,7.85,0.42,61.21,0.19,-0.07,275.39,36.08,90279.63,29.93,108.69,湖北省
8960,44.59,49.83,22.94,7.13,0.42,62.34,-0.7,-0.63,274.76,38.79,89692.2,29.93,108.84,湖北省
8961,46.04,51.44,20.45,6.97,0.44,63.49,-0.88,-1.62,274.09,41.72,90246.45,29.92,109,湖北省
8962,46.56,51.99,19.25,7.13,0.45,65.46,-1.35,-1.3,272.09,46.88,91309.04,29.92,109.16,湖北省
8963,40.68,45.36,17.01,6.6,0.41,68.84,-1.41,-0.63,272.12,40.96,90539.18,29.91,109.31,湖北省
8964,31.91,35.44,11.97,5.36,0.34,70.11,-1.91,-1.1,272.65,40.36,90870.57,29.91,109.47,湖北省
8965,28.06,31.06,9.56,4.71,0.31,70.36,-2.62,-2.02,273.89,34.38,89245.22,29.9,109.63,湖北省
8966,26.2,28.91,8.5,4.41,0.3,71.04,-0.74,-2.47,273.08,34.46,86631.52,29.89,109.78,湖北省
8967,27.76,30.67,9.3,4.75,0.31,72.57,1.72,-2.57,273.8,34.8,88073.49,29.89,109.94,湖北省
8968,31.47,34.91,10.69,5.6,0.34,71.95,0.82,-3.79,273.94,36.9,90700.33,29.88,110.1,湖北省
8969,35.68,39.78,12.33,6.31,0.38,70.52,-1.55,-3.37,274.31,35.21,90286.45,29.87,110.25,湖北省
8970,36.31,40.53,12.75,6.45,0.39,69.93,-1.28,-3.24,273.58,32.94,88227.23,29.87,110.41,湖北省
8971,28.96,32.11,11.11,5.71,0.33,71.2,0.8,-3.02,274.03,32.17,89722.96,29.86,110.57,湖南省
8972,29.7,33.01,11.93,6.26,0.33,70.19,2,-2.21,276.28,31.67,94651.79,29.85,110.72,湖南省
8973,32.7,36.46,13.7,7,0.35,68.48,1.55,-1.84,276.68,35.12,97295.27,29.85,110.88,湖南省
8974,35.23,39.36,16.91,7.82,0.37,65.42,0.93,-2.6,276.13,38.08,97235.6,29.84,111.04,湖南省
8975,33.42,38.95,23.88,10.12,0.4,61,0.74,-3.24,276.65,39.65,97770.01,29.83,111.19,湖南省
8976,37.1,43.49,31.68,13.13,0.44,56.82,0.53,-3.33,277.21,37.3,99363.73,29.82,111.35,湖南省
8977,44.78,53.05,37.7,16.7,0.53,52.9,0.32,-2.44,276.55,39.32,101117.83,29.81,111.51,湖南省
8978,53.78,63.94,44.15,20.53,0.64,48.96,0.2,-2.08,275.29,43.96,101930.69,29.81,111.66,湖南省
8979,57.98,70.04,47.7,23.4,0.72,46.46,0.58,-1.47,275.19,47.47,102035.55,29.8,111.82,湖南省
8980,52.43,66.33,43.5,23.06,0.72,46.99,0.98,-0.33,275.77,48.67,102118.16,29.79,111.97,湖南省
8981,45.96,60.43,38.25,21.37,0.7,48.02,1.3,1.1,276.43,47.57,102017.54,29.78,112.13,湖北省
8982,44.16,59.89,38.17,22.41,0.74,47.52,1.56,1.86,277.02,49.76,101995.34,29.77,112.29,湖北省
8983,45.59,60.74,36.94,23.77,0.77,46.8,1.53,2.01,277.3,54.02,102041.64,29.76,112.44,湖北省
8984,46.64,60.67,32.08,24.08,0.75,47.15,1.46,2.02,277.42,58.23,101974.33,29.75,112.6,湖北省
8985,48.88,63.61,31.16,26.16,0.76,46.33,1.2,2.26,277.61,58.95,101912.69,29.74,112.76,湖北省
8986,52.27,69.91,34.29,32.54,0.84,44.26,0.66,2.5,277.45,60.8,102050.28,29.73,112.91,湖南省
8987,59.56,82.12,44.66,43.11,1.06,38.05,0.45,3.05,277.31,59.67,102176.44,29.72,113.07,湖北省
8988,58.73,80.38,42.75,43.04,1.02,40.38,0.74,4.09,277.03,51.17,102194.76,29.71,113.22,湖北省
8989,55.72,73.96,37.68,38.34,0.92,43.75,2.05,4.35,277.1,41.45,102188.86,29.7,113.38,湖南省
8990,45.82,59.46,32.31,30.8,0.73,53.42,2.25,3.74,280.99,53.74,102250.16,29.69,113.54,湖北省
8991,49.99,63.68,33.9,33.93,0.8,48.58,1.18,3.45,279.7,44.36,101959.85,29.68,113.69,湖北省
8992,52.48,65.76,36.65,35.98,0.85,46.54,0.69,3.09,278.71,42.65,101388.27,29.67,113.85,湖北省
8993,51.19,63.63,33.58,31.63,0.83,49.09,0.33,2.95,277.64,45.46,100636.66,29.66,114,湖北省
8994,48.51,61.25,30.21,27.68,0.8,51.55,0.86,2.48,277.05,44.72,99564.23,29.64,114.16,湖北省
8995,45.8,59.35,27.5,26.29,0.79,51.36,1.36,2,277.48,41.64,99887.57,29.63,114.31,湖北省
8996,45.25,59.74,26.3,26.08,0.79,50.49,0.64,1.06,277.81,40.37,100625.02,29.62,114.47,湖北省
8997,44.97,59.69,26.13,25.95,0.79,49.46,0.02,0.34,277.23,42.19,100139.34,29.61,114.63,湖北省
8998,45.26,60.78,28.96,25.77,0.8,47.95,0.28,0.9,277.15,44.07,100016.27,29.6,114.78,湖北省
8999,45.8,61.24,29.12,24.69,0.79,47.88,0.66,1.23,277.41,44.43,100310.01,29.58,114.94,湖北省
9000,43.35,57.85,26.48,21.29,0.68,48.33,0.57,1.26,277.14,46.37,99777.8,29.57,115.09,湖北省
9001,42.01,55.75,24.03,20.13,0.63,48.05,0.45,0.62,276.5,48.64,98486.2,29.56,115.25,江西省
9002,42.97,56.72,22.7,20.81,0.62,46.36,0.97,0.35,276.34,50.33,98249.19,29.54,115.4,江西省
9003,43.68,58.3,22.02,23.25,0.65,43.5,1.52,0.52,276.96,50.86,99745.95,29.53,115.56,江西省
9004,43.77,58.62,21.81,25.94,0.67,40.48,1.26,0.72,277.18,53.08,100973.76,29.52,115.71,江西省
9005,45.58,61.99,21.92,27.17,0.72,38.95,0.77,0.69,276.78,55.92,100998.25,29.5,115.87,江西省
9006,48,64.76,24.24,28.08,0.73,38.26,1.18,0.56,276.83,55.66,101069.48,29.49,116.03,江西省
9007,50.48,66.6,23.98,24.66,0.71,42.29,1.19,0.98,277.24,59.23,101571.94,29.48,116.18,江西省
9008,55.14,69.99,22.4,21.96,0.68,45.01,0.17,0.81,276.91,64.76,101614.23,29.46,116.34,江西省
9009,62.2,75.64,20.87,21,0.65,46.17,-0.84,0.62,276.21,72.07,101694.07,29.45,116.49,江西省
9010,67.92,81.1,20.75,21.58,0.66,44.56,-1.46,0.65,275.72,69.65,102090.56,29.43,116.65,江西省
9011,69.14,82.4,21.54,22.2,0.65,42.53,-1.42,1.02,275.75,65.21,102084.7,29.42,116.8,江西省
9012,69.84,84.24,25.22,24.8,0.66,40.31,-0.96,0.2,275.65,65.79,101533.2,29.4,116.96,江西省
9013,72.28,91.47,33.86,31.6,0.71,34.46,-0.41,0.07,275.36,66.21,101070.28,29.39,117.11,江西省
9014,68.56,84.86,27.19,24.47,0.65,39.1,-0.25,0.3,275.38,64.71,100875.92,29.37,117.27,江西省
9015,65.49,81.52,26.77,22.52,0.63,40.31,-0.13,-0.41,275.61,61.98,100037.83,29.35,117.42,江西省
9016,63.09,78.19,27.87,20.88,0.67,40.22,0.29,-1.19,275.64,60.67,99460.39,29.34,117.58,江西省
9017,63.59,78.12,35.17,19.7,0.74,39.47,0.06,-1,275.7,62.06,100204.59,29.32,117.73,江西省
9018,62.24,75.73,40.67,18.1,0.81,40.39,-0.3,-0.98,275.77,60.11,99979.16,29.31,117.89,江西省
9019,61.36,73.6,43.24,16.58,0.87,40.66,0.69,-1.48,275.52,54.7,97529.38,29.29,118.04,江西省
9020,62.06,74.09,42.21,16.91,0.91,40.25,1.96,-1.81,275.82,51.47,96779.55,29.27,118.19,浙江省
9021,62.86,75.25,41.43,18.14,0.99,39.41,1.34,-0.97,276.3,50.77,98462.91,29.26,118.35,浙江省
9022,59.93,72.21,38.69,17.12,0.95,40.79,0.41,-0.03,275.72,50.2,97590.21,29.24,118.5,浙江省
9023,56.69,68.41,34.86,15.45,0.91,42.16,1.36,-0.65,275.35,44.4,95000.16,29.22,118.66,浙江省
9024,55.97,68.81,32.78,17.03,0.95,41,2.28,-1.3,276.09,42.56,95452.42,29.2,118.81,浙江省
9025,58.7,75.64,35.34,23.63,1.06,36.52,1.59,-0.47,277.16,42.36,98657.29,29.19,118.97,浙江省
9026,63.53,89.12,39.09,37.27,1.26,28.26,0.71,0.13,277.35,43.29,101485.12,29.17,119.12,浙江省
9027,66.5,101.39,46.34,53.34,1.37,18.75,0.79,0.42,277.19,43.76,102444.77,29.15,119.27,浙江省
9028,66.72,105.96,47.86,57.61,1.41,16.17,1.43,0.48,277.1,42.53,102055.12,29.13,119.43,浙江省
9029,68.12,112.36,49.43,60.59,1.54,14.29,1.82,-0.07,276.82,43.18,101397.42,29.11,119.58,浙江省
9030,63.67,102.29,41.02,56.26,1.4,17.2,1.81,-0.19,276.5,44.38,100799.62,29.1,119.74,浙江省
9031,59.47,94.99,34.32,49.68,1.3,21.52,1.69,0.03,276.36,43.27,99681.05,29.08,119.89,浙江省
9032,59.05,95.9,32.44,48.13,1.28,23.82,1.27,0.16,276.23,44.05,99320.33,29.06,120.04,浙江省
9033,57.66,92.58,30.55,46.97,1.19,27.4,0.27,0.51,276.6,42.58,100095.45,29.04,120.2,浙江省
9034,52.81,82.54,27.32,41.87,1.02,33.3,0.24,0.23,276.21,42.13,98308.3,29.02,120.35,浙江省
9035,49.18,76.24,23.91,37.72,0.93,36.55,1.57,-0.6,275.17,41.82,94950.69,29,120.51,浙江省
9036,46.74,71.97,21.79,34.78,0.86,38.82,2.63,-1.27,275.94,36.06,94492.47,28.98,120.66,浙江省
9037,46.82,72.02,21.02,36.35,0.85,37.6,2.72,-0.26,277.03,35.46,96463.21,28.96,120.81,浙江省
9038,44.84,68.99,20.35,38.66,0.81,37.55,2.32,0.13,277.64,36.82,98391.67,28.94,120.97,浙江省
9039,43.56,67.83,20.5,43.64,0.82,36.04,2.51,-1.12,278,36.74,99573.06,28.92,121.12,浙江省
9040,41.72,64.83,19.15,43.28,0.75,37.12,2.58,-1.67,278.44,36.33,100533.03,28.9,121.27,浙江省
9041,39.66,61.86,18.28,43.3,0.7,37.92,2.11,-1.28,279.03,37.13,101230.45,28.88,121.43,浙江省
9042,38.25,57.69,17.95,34.53,0.59,41.37,2.23,-0.75,279.06,36.08,101945.96,28.86,121.58,浙江省
9043,3.57,3.99,0.48,0.61,0.13,76.1,3.47,-3.59,270.26,18.58,57125.01,28.5,85.19,西藏自治区
9044,2.71,3.04,0.35,0.5,0.12,75.9,1.7,-2.62,268.94,17.93,55881.39,28.53,85.34,西藏自治区
9045,1.82,2.04,0.25,0.42,0.12,75.26,3.25,-0.69,266.41,17.38,53676.42,28.55,85.5,西藏自治区
9046,1.48,1.73,0.2,0.37,0.11,77.14,8.64,0.27,265.73,18.59,52867.04,28.58,85.65,西藏自治区
9047,1.24,1.48,0.17,0.35,0.11,79.79,10.25,-1.93,267.72,19.25,54163.47,28.6,85.8,西藏自治区
9048,1.11,1.35,0.16,0.35,0.11,79.48,8.3,-3.53,269.66,22.31,56044.27,28.63,85.95,西藏自治区
9049,1.03,1.25,0.14,0.38,0.11,82.8,7.73,-2.51,268.92,25.37,55690.44,28.65,86.1,西藏自治区
9050,1,1.21,0.13,0.38,0.11,83.27,8.91,-1.52,268.97,24.98,55771.84,28.68,86.26,西藏自治区
9051,0.91,1.1,0.12,0.37,0.11,84.04,8.28,-3.54,270.42,22.96,57310.64,28.7,86.41,西藏自治区
9052,0.87,1.05,0.11,0.37,0.11,83.71,7.51,-5.46,269.82,22.31,56994.2,28.72,86.56,西藏自治区
9053,0.82,0.98,0.1,0.34,0.11,83.82,6.97,-3.7,269.92,22.43,57110.57,28.75,86.71,西藏自治区
9054,0.79,0.95,0.1,0.33,0.12,83.83,6.06,-3.06,269.31,24.51,56755.43,28.77,86.87,西藏自治区
9055,0.76,0.92,0.09,0.32,0.12,83.95,6.42,-3.88,268.15,26.74,55691.32,28.79,87.02,西藏自治区
9056,0.74,0.9,0.09,0.36,0.12,84.11,6.04,-3.41,267.71,27.79,55325.8,28.82,87.17,西藏自治区
9057,0.73,0.9,0.09,0.45,0.12,84.42,5.83,-2.16,265.72,30.96,53617.53,28.84,87.32,西藏自治区
9058,0.71,0.88,0.08,0.45,0.12,83.99,8.21,-2.03,263.85,33.85,51923.55,28.86,87.48,西藏自治区
9059,0.69,0.85,0.08,0.4,0.12,84.33,8.6,-2.67,266.19,30.74,53436.07,28.88,87.63,西藏自治区
9060,0.71,0.9,0.08,0.49,0.12,83.46,5.27,-2.17,270.13,28.43,57109.54,28.9,87.78,西藏自治区
9061,0.69,0.88,0.07,0.53,0.12,83.73,3.56,0.55,270.68,28.94,58219.07,28.93,87.94,西藏自治区
9062,0.64,0.83,0.07,0.47,0.11,83.47,6.33,1.11,268.54,31.81,56332.97,28.95,88.09,西藏自治区
9063,0.63,0.81,0.07,0.47,0.11,83.59,8.71,-0.32,269.21,29.86,56624.86,28.97,88.24,西藏自治区
9064,0.82,1.01,0.07,0.53,0.11,78.97,6.63,-1.65,272.63,25.21,59848.23,28.99,88.4,西藏自治区
9065,1.25,1.45,0.07,0.59,0.12,77.87,4.04,-0.83,273.39,25.6,61205.82,29.01,88.55,西藏自治区
9066,1.18,1.37,0.07,0.6,0.11,77.84,3.78,-0.62,272.39,26.24,60475.04,29.03,88.7,西藏自治区
9067,1.32,1.52,0.07,0.75,0.12,76.72,3.76,0.27,272,26.93,60220.46,29.05,88.86,西藏自治区
9068,1.25,1.45,0.07,0.82,0.12,75.7,3,0.65,272.16,25.54,60632.66,29.07,89.01,西藏自治区
9069,1,1.18,0.07,0.7,0.12,74.65,3.13,-0.36,271.58,24.52,60322.78,29.09,89.16,西藏自治区
9070,0.91,1.08,0.07,0.64,0.12,75.81,3.67,-0.72,270.88,25.05,59760.02,29.11,89.32,西藏自治区
9071,0.81,0.98,0.07,0.6,0.12,76.63,3.26,-0.25,270.66,25.4,59702.46,29.13,89.47,西藏自治区
9072,0.67,0.83,0.06,0.47,0.11,77.07,4.04,0.91,268.95,27.15,58211.99,29.15,89.63,西藏自治区
9073,0.6,0.76,0.06,0.47,0.11,77.83,5.94,1.61,268.87,26.52,57824.4,29.17,89.78,西藏自治区
9074,0.56,0.72,0.06,0.48,0.11,77.81,6.43,1.69,270.08,24.83,58717.63,29.19,89.93,西藏自治区
9075,0.55,0.72,0.06,0.47,0.11,77.17,7.33,1.01,269.13,25.97,57821.13,29.21,90.09,西藏自治区
9076,0.56,0.78,0.06,0.47,0.11,77.79,8.98,-2.52,268.71,26.45,57574.21,29.23,90.24,西藏自治区
9077,0.64,1,0.06,0.56,0.11,79.54,9.09,-5.43,270.29,23.81,59017.07,29.25,90.4,西藏自治区
9078,1.06,1.75,0.06,1.21,0.13,79.12,7.36,-2.68,272.26,21.03,60586.62,29.27,90.55,西藏自治区
9079,2.45,4.15,0.07,3.12,0.16,75.41,5.44,1.5,273.72,20.61,62051.36,29.29,90.7,西藏自治区
9080,4.95,8.64,0.09,7.26,0.21,73.32,3.61,1,274.81,21.05,63476.02,29.3,90.86,西藏自治区
9081,7.56,13.17,0.12,10.39,0.25,72.44,2.46,-1.3,274.23,22.99,63451.24,29.32,91.01,西藏自治区
9082,8.31,13.95,0.1,9.14,0.26,73.75,3.48,-3.13,271.57,25.44,60974.26,29.34,91.17,西藏自治区
9083,7.56,12.8,0.1,7.2,0.26,74.57,4.44,-4.01,269.96,27.7,59431.37,29.36,91.32,西藏自治区
9084,5.19,9,0.09,5.06,0.23,75.91,4.3,-4.6,269.95,27.65,59363,29.37,91.48,西藏自治区
9085,2.57,4.7,0.07,2.84,0.18,75.55,4.57,-4.7,268.84,28.9,58127.53,29.39,91.63,西藏自治区
9086,1.28,2.37,0.07,1.5,0.14,74.89,4.23,-3.46,267.59,32.31,57311.99,29.41,91.79,西藏自治区
9087,0.76,1.28,0.07,0.79,0.12,76.59,3.87,-3.38,266.19,35.7,56453.5,29.42,91.94,西藏自治区
9088,0.56,0.79,0.06,0.52,0.11,77.39,5.68,-4.28,265.16,36.31,55349.52,29.44,92.1,西藏自治区
9089,0.51,0.67,0.06,0.47,0.11,76.03,5.8,-3.68,265.87,35.63,56088.96,29.46,92.25,西藏自治区
9090,0.51,0.65,0.06,0.46,0.11,75.45,4.73,-3.23,264.67,39.4,55689.53,29.47,92.41,西藏自治区
9091,0.47,0.59,0.06,0.36,0.11,75.74,8.08,-6.07,262.11,44.64,53488.86,29.49,92.56,西藏自治区
9092,0.44,0.56,0.06,0.28,0.11,78.98,11.44,-8.3,262.34,42.78,53266.34,29.51,92.72,西藏自治区
9093,0.44,0.55,0.06,0.25,0.11,79.98,10.7,-7.93,263.3,40.1,53883.29,29.52,92.87,西藏自治区
9094,0.44,0.55,0.06,0.23,0.11,80.5,9.43,-5.83,263.37,40.77,53875.18,29.54,93.03,西藏自治区
9095,0.46,0.56,0.06,0.23,0.11,80.78,8.04,-4.74,264.9,38.68,55232.35,29.55,93.18,西藏自治区
9096,0.47,0.57,0.06,0.22,0.11,82.6,6.7,-6,265.52,38.84,56185.89,29.57,93.34,西藏自治区
9097,0.49,0.58,0.06,0.21,0.11,83.29,6.5,-5.66,265.21,40.16,56179.45,29.58,93.49,西藏自治区
9098,0.51,0.61,0.06,0.23,0.11,82.63,5.22,-3.33,266.94,37.11,57966.84,29.6,93.65,西藏自治区
9099,0.54,0.64,0.06,0.26,0.11,82.31,4.19,-2.13,267.29,37.01,58824.09,29.61,93.8,西藏自治区
9100,0.56,0.64,0.07,0.26,0.11,82.75,5.86,-2.29,266.09,39.1,57876.94,29.62,93.96,西藏自治区
9101,0.72,0.82,0.08,0.37,0.11,82.57,5.47,-2.76,267.65,37.93,59612.57,29.64,94.11,西藏自治区
9102,1.1,1.22,0.11,0.67,0.12,82.51,1.71,-1.29,270.05,40.56,63144.07,29.65,94.27,西藏自治区
9103,1.21,1.33,0.12,0.76,0.12,82.23,0.12,-1.33,268.79,43.92,62511.09,29.67,94.43,西藏自治区
9104,1.23,1.34,0.12,0.62,0.12,81.78,2.17,-1.17,266.49,46.99,60498.32,29.68,94.58,西藏自治区
9105,1.22,1.32,0.12,0.52,0.12,81.35,2.9,-1.65,268.47,42.38,62545.46,29.69,94.74,西藏自治区
9106,1.2,1.32,0.12,0.41,0.12,81.02,1.82,-2.92,269.77,36.73,64111.14,29.71,94.89,西藏自治区
9107,1.35,1.5,0.13,0.44,0.12,80.92,1.88,-1.73,269.97,38.84,65052.13,29.72,95.05,西藏自治区
9108,1.27,1.44,0.12,0.47,0.12,82.2,0.88,-2.45,272.46,33.89,69255.88,29.73,95.2,西藏自治区
9109,1.18,1.34,0.1,0.49,0.12,83.79,-2.8,-4.08,273.93,28.6,70690.3,29.74,95.36,西藏自治区
9110,1.05,1.16,0.09,0.47,0.12,82.29,-5.66,-1.62,270.08,32.8,66280.4,29.76,95.52,西藏自治区
9111,1.02,1.11,0.09,0.47,0.12,82.38,-5.52,-0.1,266.82,35.03,63355.61,29.77,95.67,西藏自治区
9112,0.91,0.98,0.09,0.47,0.12,88.11,-3.79,-1.99,265.2,31.95,62224.49,29.78,95.83,西藏自治区
9113,0.78,0.84,0.08,0.46,0.13,89.28,-1.29,-1.37,264.68,30.39,62192.82,29.79,95.98,西藏自治区
9114,0.72,0.78,0.08,0.46,0.13,89.37,-1.26,0.18,266.09,30.4,64585.01,29.8,96.14,西藏自治区
9115,0.66,0.71,0.08,0.44,0.12,89.18,-3.06,-2.58,265.54,27.38,62853.24,29.81,96.3,西藏自治区
9116,0.69,0.74,0.07,0.62,0.12,85.4,-1.1,-2.01,262.72,27.47,59143.51,29.82,96.45,西藏自治区
9117,0.69,0.76,0.07,0.66,0.12,83.86,2.42,-3.59,261.91,27.28,58231.54,29.84,96.61,西藏自治区
9118,0.66,0.72,0.07,0.57,0.12,85.52,6.02,-3.38,261.38,28.01,57067.46,29.85,96.76,西藏自治区
9119,0.65,0.72,0.07,0.48,0.12,85.38,10.02,-2.31,262.21,27.16,57133.32,29.86,96.92,西藏自治区
9120,0.68,0.74,0.08,0.47,0.12,83.77,7.24,-2.47,267.36,26.36,61900.68,29.87,97.08,西藏自治区
9121,0.77,0.83,0.09,0.43,0.13,90.49,0.86,-3.73,272,25.11,68027.7,29.88,97.23,西藏自治区
9122,0.77,0.85,0.1,0.42,0.13,97.43,-1.64,-2.85,271.14,23.3,67034.96,29.89,97.39,西藏自治区
9123,0.72,0.79,0.09,0.45,0.12,91.19,0.28,-3.66,265.67,25.08,61089.43,29.9,97.55,西藏自治区
9124,0.72,0.79,0.09,0.41,0.12,90.09,4.36,-4.19,262.15,26.87,57544.36,29.91,97.7,西藏自治区
9125,0.74,0.81,0.09,0.36,0.12,88.21,6.17,-2.32,261.16,29.16,56922.84,29.91,97.86,西藏自治区
9126,0.77,0.84,0.09,0.32,0.12,87.74,5.94,-2.25,263.06,29.16,59202.05,29.92,98.02,西藏自治区
9127,0.78,0.86,0.08,0.29,0.12,88.78,5.53,-5.54,264.31,29.27,61070.07,29.93,98.17,西藏自治区
9128,0.78,0.85,0.08,0.26,0.12,89.75,4.89,-6.06,263.79,28.53,60390.85,29.94,98.33,西藏自治区
9129,0.8,0.88,0.08,0.3,0.12,89.76,4.46,-4.33,263.31,29.26,60038.43,29.95,98.48,西藏自治区
9130,0.83,0.91,0.08,0.35,0.12,88.99,5.16,-4.82,262.61,29.81,59648.34,29.96,98.64,西藏自治区
9131,0.83,0.9,0.09,0.31,0.12,89.19,5.63,-5.08,262.3,27.76,58753.84,29.97,98.8,西藏自治区
9132,0.96,1.05,0.16,0.5,0.13,87.42,1.6,-1.89,265.01,25.61,62051.27,29.97,98.95,西藏自治区
9133,1.13,1.25,0.35,0.89,0.13,89.35,-1.52,0.78,266.19,23.21,63668.25,29.98,99.11,四川省
9134,0.9,0.99,0.19,0.59,0.11,83,1.81,-1.65,261.5,27.57,58619.18,29.99,99.27,四川省
9135,0.76,0.81,0.15,0.47,0.11,82.94,6.37,-4.5,258.73,30.7,55964.4,30,99.43,四川省
9136,0.69,0.73,0.14,0.36,0.11,86.81,10.12,-5.9,258.62,28.11,55300.73,30,99.58,四川省
9137,0.71,0.76,0.14,0.37,0.11,87.91,10.5,-4.59,260.15,26.02,56224.27,30.01,99.74,四川省
9138,0.79,0.86,0.14,0.45,0.12,87.24,6.81,-2.42,262.8,23.2,58664.27,30.02,99.9,四川省
9139,0.84,0.91,0.14,0.51,0.12,87.64,6.34,-2.5,262.96,23.07,59058.46,30.02,100.05,四川省
9140,0.85,0.93,0.14,0.58,0.12,88.27,8.55,-4,263.26,22.78,59404.1,30.03,100.21,四川省
9141,0.89,0.97,0.14,0.7,0.12,88.3,8.43,-4.03,263.61,23.16,59753.26,30.04,100.37,四川省
9142,0.97,1.06,0.16,0.83,0.13,87.43,7.61,-2.97,263.85,23.58,60012.38,30.04,100.52,四川省
9143,1.06,1.15,0.17,0.96,0.13,85.88,6.72,-1.68,265.32,23.65,61702.39,30.05,100.68,四川省
9144,1.11,1.2,0.18,1.12,0.13,84.36,4.22,-1.36,267.75,23.71,64684.97,30.05,100.84,四川省
9145,1.13,1.22,0.18,1.11,0.13,87.98,1.47,-0.47,268.97,23.76,66952.37,30.06,100.99,四川省
9146,1.16,1.26,0.2,1.07,0.13,88.91,2.4,0.69,266.64,26.02,64671.53,30.06,101.15,四川省
9147,1.2,1.31,0.21,1,0.14,90.24,6.21,-0.14,264.39,26.9,62185.79,30.07,101.31,四川省
9148,1.21,1.33,0.22,0.94,0.14,91.25,6.63,-0.46,265.66,24.89,63279.13,30.07,101.46,四川省
9149,1.23,1.37,0.24,0.86,0.14,92.71,6.63,0.88,264.68,26.7,62591.86,30.08,101.62,四川省
9150,1.33,1.19,0.6,0.99,0.14,93.27,10.37,1.84,264.57,25.61,62080.24,30.08,101.78,四川省
9151,1.41,1.22,0.79,1.1,0.14,93.55,11.96,0.91,268.94,19.92,65900.16,30.08,101.94,四川省
9152,1.51,1.23,0.66,1.06,0.14,93.39,10.38,-2.67,270.67,17.8,67528.34,30.09,102.09,四川省
9153,2.56,2.49,1.18,1.25,0.15,91.25,8.47,-5.09,271.66,21.24,69019.99,30.09,102.25,四川省
9154,10.72,10.55,4.44,3.32,0.22,85.91,4.06,-2.25,274.74,27.68,75348.4,30.1,102.41,四川省
